year,dauco_id,dau_code,dau_name,psa_code,psa_name,hr_code,hr_name,pa_code,county_name,county_code,county_ansi,dauco_area,dauco_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1994,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1995,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1996,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1997,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1998,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
1999,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
2000,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
2001,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
2002,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
2003,125,001,Lost River,011,Upper Klamath,01,North Coast,101,Modoc,25,049,3047.61510989,.0590878908900001,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,1007.600003130734,1007.600003130734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.600003130734,1007.600003130734,0,1,1,,,,,
