year,std_name,user_id,user_centroid_lat,user_centroid_lon,user_area,user_cropland,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,cvp_pctallo,cvp_pctallo_ag,cvp_pctallo_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,rights_pod_latitude,rights_pod_longitude,rights_min_year,rights_max_year,rights_mean_year,rights_med_year,rights_diversion_ag,rights_diversion_mi
1981,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1982,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1983,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1984,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1985,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1986,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1987,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1988,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1989,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1990,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1991,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1992,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
1993,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1994,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.34999999,.34999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.34999999,.34999999,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1995,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1996,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1997,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.89999998,.89999998,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.89999998,.89999998,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1998,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
1999,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2000,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2001,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.60000002,.60000002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.60000002,.60000002,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2002,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2003,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2004,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2005,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2006,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2007,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2008,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.40000001,.40000001,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2009,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.40000001,.40000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.40000001,.40000001,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2010,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2011,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2012,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2013,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,.75,.75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,.75,.75,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2014,4-E W.D.,3507,39.5937496489,-122.612469284,7.29393601612,0,0,0,0,0,0,0,35,35,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
