year,std_name,user_id,huc8,vol_deliv_cy,vol_deliv_wy,vol_maximum,swp_deliveries,swp_maxvol,swp_basemax,cvp_deliveries_cy,cvp_deliveries_wy,cvp_maxvol,loco_maxvol,loco_deliveries,rights_avgdivert,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum_ag,vol_maximum_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol_ag,swp_maxvol_mi,swp_basemax_ag,swp_basemax_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol_ag,cvp_maxvol_mi,cvp_pctallo,cvp_pctallo_ag,cvp_pctallo_mi,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert_ag,rights_avgdivert_mi,rights_pod_latitude,rights_pod_longitude,rights_min_year,rights_max_year,rights_mean_year,rights_med_year,rights_diversion_ag,rights_diversion_mi,user_centroid_lon,user_centroid_lat,user_area,huc8_area,huc8_pctcrop
1981,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1982,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1983,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1984,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1985,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1986,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1987,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1988,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1989,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
1990,4-E W.D.,3507,18020115,,,,0,0,0,,,,0,0,0,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,,0,,0,,,,,,,,,-122.612469284,39.5937496489,7.29393601612,2010.37480558,.0133715052600001
